Number,Fuente,Author,Year,Title,Publication,Pages,Language
1768,IMERNAR,"FORSTER, J. R.",1772,An account of the birds sent from Hudson's Bay; with obseravtions relative to their natural history; and Latin descriptions of some of the most uncommon.,Philos. Trans.,62:382-433,en
1711,IMERNAR,"ErXLEBEN, C. P.",1777,"Systema regni animalis per classes, ordines, genera, species, varietates, cum synonymia et historia animalium. Classis I. Mammalia.","Lipsia, Impensibes Weygndia-nis.",xlvii +636 ?.,la
1090,IMERNAR,"CLAVIGERO, F. X.",1780,"Storia antica del Messico cavata da' Migliori storici spagnuoli e da' manoscritti, e dalle pitture antiche degl' indiani... e dissertazioni sulla terra, sugli ani- mali, e sugli abitatori del Messico.","Cesena, Georgio Biasini.",4 v.,it
3999,IMERNAR,"SHAW, G.",1798,Gyrinus mexicanus Shaw.,"Naturalist Misc., 9",343-344.,en
1290,IMERNAR,"Daudin, F. M.",1802,"Histoire naturelle, générale et particuliére des reptiles.","Paris, F. Dufart.",7 v.,fr
4920,IMERNAR,"WILSON, A.",1810,American ornithology; or the natural history of the birds of the United States,"Philadelphia, Bradford and Inskeep. v. 2",xii+167 p.,en
2024,IMERNAR,"GREEN, J.",1818,"Descriptions of several species of North American Amphibia, accompanied with observations.","Jour Acad. Nat. Sej. Phila., 1",348-359,en
687,IMERNAR,"BONAPARTE, C. L.",1825,Descriptions of two new species of Mexican birds.,Jour. Acad. Nat. Sci. Phila.,4:387-390,en
1163,IMERNAR,"COOPER, W.",1825,"Description of a new species of grosbeak, inhabiting the northwestern territory of the United States.",Ann. Lyc. Nat. Hist. New York,1:219-222,en
1999,IMERNAR,"GRAY, J. E.",1825,"A synopsis of the genera of reptiles and Amphibia, with a description of some new species","Ann. Philosophy, ser. 2",10(3):193-217,en
2186,IMERNAR,"HARLAN, R.",1825,Fauna Americana: being a description of the mammiferous animals inhabiting North America.,"Philadelphia, A. Finley.",318 p.,en
2187,IMERNAR,"HARLAN, R.",1825,Description of two new species of Agama.,"Jour. Acad. Nat. Sci. Phila., 4",296-304,en
3870,IMERNAR,"Say, T. y G. Ord",1825,"A new genus of Mammalia proposed, and a description of the species which it is founded.",Jour. Acad. Nat. Sci. Phila.,4:345-349.,en
1754,IMERNAR,"FITZINGER, L. J.",1826,Neue classification der reptilien nach ihren natürlichen verwandtschaften.,"Viena, Heubner.",66 p.,de
471,IMERNAR,"BARNES, D. H.",1826,"An arrangement of the genera of batracian animals, with a description of the more remarkable species.","Amer. Jour. Sci. Arts, ser. 1, 11",268-297,en
688,IMERNAR,"BONAPARTE, C. L.",1826,"The genera of North American birds, and a synopsis of the species found within the territory of the United States; systematically arranged in orders and families.",Ann. Lyceum Nat. Hist. New York,"2:7-128, 293-451",en
