Year,N1,N2,N3,C,E
1991,51,8,1,39,0
1992,62,8,1,46,0
1993,62,13,1,52,0
1994,63,15,1,42,0
1995,68,15,2,33,0
1996,75,15,3,24,0
1997,76,15,3,21,0
1998,89,18,3,19,0
1999,84,21,8,26,0
2000,101,18,7,26,0
2001,105,28,7,25,0
2002,118,29,10,25,0
2003,118,29,10,25,0
2005,125,33,13,33,0
2007,157,35,13,42,0
2008,169,52,14,44,0
2009,164,67,15,46,0
2010,183,72,21,52,0
2011,193,62,26,52,0
2012,223,72,30,60,0
2013,229,69,33,60,0
2014,220,77,34,66,1
2015,236,89,37,101,2
2016,233,99,41,110,3
2017,281,114,46,142,3
2018,319,120,54,146,3
2019,357,116,57,138,3
2020,393,128,66,138,3
2022,626,0,0,117,0
2023,290,101,59,78,0
2024,258,93,53,89,9
