,Numero,Year,EXPEDIENTE,Nombre,NIVEL,Area,Disciplina,Subdisciplina,Especialidad,Institucion,Dependencia,Entidad,Pais,CVU
1,340566,2018,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,UNIVERSIDAD AUTONOMA DE Baja California,CAMPUS ENSENADA,Baja California,MEXICO,NA
2,369123,2019,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA DE POBLACIONES,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,UNIVERSIDAD AUTONOMA DE Baja California,CAMPUS ENSENADA,Baja California,MEXICO,NA
3,399796,2020,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,GENETICA,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,UNIVERSIDAD AUTONOMA DE Baja California,CAMPUS ENSENADA,Baja California,MEXICO,NA
4,432902,2022,161035,ABADIA_ CARDOSO_ ALICIA,1,II.- BIOLOGIA Y QUIMICA,GENETICA,GENETICA DE POBLACIONES,ECOLOGIA MOLECULAR Y GENETICA DE POBLACIONES,NA,FACULTAD DE CIENCIAS MARINAS,NA,MEXICO,NA
6,155688,2010,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
9,172286,2011,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
10,189926,2012,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,INSTITUTO DE INVESTIGACIONES BIOLOGICAS,Veracruz,MEXICO,72396
11,208481,2013,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,INSTITUTO DE INVESTIGACIONES BIOLOGICAS,Veracruz,MEXICO,72396
12,228228,2014,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,INSTITUTO DE INVESTIGACIONES BIOLOGICAS,Veracruz,MEXICO,72396
13,260846,2015,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
14,284133,2016,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
15,309183,2017,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA,UNIVERSIDAD VERACRUZANA,CAMPUS XALAPA,Veracruz,MEXICO,NA
7,111957,2007,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
8,140123,2009,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
16,125442,2008,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,OTRAS ESPECIALIDADES EN MATERIA DE BIOLOGIA,ECOLOGIA TEORICA Y REDES TROFICAS,UNIVERSIDAD VERACRUZANA,CENTRO DE ECOLOGIA Y PESQUERIAS,Veracruz,MEXICO,72396
5,454140,2023,72396,ABARCA_ ARENAS_ LUIS_ GERARDO,1,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,UNIVERSIDAD VERACRUZANA,NA,NA,MEXICO,NA
17,155691,2010,44168,ABASOLO_ PALACIO_ VICTOR_ ENRIQUE,C,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,ANTROPOLOGIA SOCIAL,ECOLOGIA CULTURAL,UNIVERSIDAD VERACRUZANA,CAMPUS ORIZABA-CORDOBA,Veracruz,MEXICO,36643
18,140125,2009,44168,ABASOLO_ PALACIO_ VICTOR_ ENRIQUE,C,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,,ECOLOGIA CULTURAL,UNIVERSIDAD VERACRUZANA,No Disponible,Veracruz,MEXICO,36643
19,172288,2011,44168,ABASOLO_ PALACIO_ VICTOR_ ENRIQUE,C,IV.- HUMANIDADES Y CIENCIAS DE LA CONDUCTA,ANTROPOLOGIA,ANTROPOLOGIA SOCIAL,ECOLOGIA CULTURAL,UNIVERSIDAD VERACRUZANA,CAMPUS ORIZABA-CORDOBA,Veracruz,MEXICO,36643
26,350102,2018,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
27,379087,2019,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA VEGETAL,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
28,410216,2020,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,2,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
29,443699,2022,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,BOTANICA,ECOLOGIA VEGETAL,ECOLOGIA DE INTERACCIONES PLANTA-ANIMAL,NA,,NA,MEXICO,NA
21,172290,2011,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-INSECTO,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,306279
22,189930,2012,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-INSECTO,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,306279
30,208488,2013,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA DE INTERACCIONES PLANTA-INSECTO,NA,NA,NA,NA,306279
23,271679,2015,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,ECOLOGIA VEGETAL,ECOLOGIA EVOLUTIVA DE INTERACCIONES,NA,NA,NA,MEXICO,NA
24,296214,2016,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA EVOLUTIVA DE INTERACCIONES,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
25,322518,2017,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA EVOLUTIVA DE INTERACCIONES,UNIVERSIDAD AUTONOMA DE YUCATAN,FACULTAD DE MEDICINA VETERINARIA Y ZOOTECNIA,Yucatan,MEXICO,NA
31,228236,2014,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,1,II.- BIOLOGIA Y QUIMICA,CIENCIAS DE LA VIDA,BOTANICA,ECOLOGIA EVOLUTIVA DE INTERACCIONES,NA,NA,NA,NA,306279
20,454154,2023,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,3,II.- BIOLOGIA Y QUIMICA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,UNIVERSIDAD AUTONOMA DE YUCATAN,NA,NA,MEXICO,NA
32,508189,2024,306279,ABDALA_ ROBERTS_ LUIS_ ALEJANDRO,3,NA,ECOLOGIA,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
33,495852,2024,335647,ABELLA_ MEDRANO_ CARLOS_ ANTONIO,1,NA,CIENCIAS VETERINARIAS,NA,ECOLOGIA Y CIENCIAS AMBIENTALES,NA,NA,NA,MEXICO,NA
70,321510,2017,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA TROFICA EN DEPREDADORES TOPE,"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NORESTE, S.C. (CIBNOR)",PROGRAMA DE ECOLOGIA PESQUERA,Baja California Sur,MEXICO,NA
71,348869,2018,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA TROFICA EN DEPREDADORES TOPE,"CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NORESTE, S.C. (CIBNOR)",PROGRAMA DE ECOLOGIA PESQUERA,Baja California Sur,MEXICO,NA
72,377622,2019,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,HABITOS DE ALIMENTACION,ECOLOGIA TROFICA EN DEPREDADORES TOPE,NA,NA,NA,MEXICO,NA
73,408578,2020,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,C,VI.- BIOTECNOLOGIA Y CIENCIAS AGROPECUARIAS,CIENCIAS AGRONOMICAS Y VETERINARIAS,PECES Y ANIMALES SALVAJES,ECOLOGIA TROFICA EN DEPREDADORES TOPE,UNIVERSIDAD AUTONOMA DE Baja California SUR,,Baja California Sur,MEXICO,NA
74,441947,2022,268784,ACOSTA_ PACHON_ TATIANA_ ALEXANDRA,1,"VII. CIENCIAS DE AGRICULTURA, AGROPECUARIAS, FORESTALES Y DE ECOSISTEMAS",PECES Y ANIMALES SALVAJES,HABITOS DE ALIMENTACION,ECOLOGIA TROFICA EN DEPREDADORES TOPE,NA,,NA,MEXICO,NA
